Code,Relative Value,PC/TC Split,schedule
80305,11.96,0/100,podiatry
80306,16.16,0/100,podiatry
80307,0.0,0/100,podiatry
80375,43.26,0/100,podiatry
80376,64.89,0/100,podiatry
80377,86.52,0/100,podiatry
81000,7.09,0/100,podiatry
81002,5.54,0/100,podiatry
81005,4.93,0/100,podiatry
82310,8.01,0/100,podiatry
82435,8.01,0/100,podiatry
82465,8.32,0/100,podiatry
82565,8.01,0/100,podiatry
82945,26.49,0/100,podiatry
82947,8.01,0/100,podiatry
82948,6.16,0/100,podiatry
82951,22.8,0/100,podiatry
82952,6.16,0/100,podiatry
84100,8.01,0/100,podiatry
84132,8.01,0/100,podiatry
84520,8.01,0/100,podiatry
84525,6.16,0/100,podiatry
84550,8.01,0/100,podiatry
85002,12.94,0/100,podiatry
85004,9.24,0/100,podiatry
85007,7.39,0/100,podiatry
85008,4.93,0/100,podiatry
85009,7.39,0/100,podiatry
85013,5.54,0/100,podiatry
85014,5.54,0/100,podiatry
85018,5.54,0/100,podiatry
85025,11.4,0/100,podiatry
85027,10.78,0/100,podiatry
85032,9.24,0/100,podiatry
85041,8.63,0/100,podiatry
85044,9.24,0/100,podiatry
85045,8.63,0/100,podiatry
85048,8.63,0/100,podiatry
85049,8.63,0/100,podiatry
85345,6.16,0/100,podiatry
85347,6.16,0/100,podiatry
85651,7.7,0/100,podiatry
86430,11.71,0/100,podiatry
87181,10.47,0/100,podiatry
87205,8.01,0/100,podiatry
87206,14.17,0/100,podiatry
89050,9.86,0/100,podiatry
89051,11.71,0/100,podiatry
