CODE,NY2018 RVU,NY2012 RVU,NY 2018 FUD,NY 2012 FUD,NY2018 PC/TC Split,NY2012 PC/TC Split
0042T,15.44,BR,XXX,XXX,,
0054T,2.47,BR,XXX,XXX,,
0055T,3.23,BR,XXX,XXX,,
0075T,18.68,BR,XXX,XXX,,
0076T,17.5,BR,XXX,XXX,,
0100T,16.22,BR,XXX,XXX,,
0101T,2.78,BR,XXX,XXX,,
0102T,2.78,BR,XXX,XXX,,
0159T,0.83,BR,ZZZ,ZZZ,,
0163T,17.56,BR,YYY,YYY,,
0164T,3.25,BR,YYY,YYY,,
0165T,3.61,BR,YYY,YYY,,
0174T,0.6,BR,XXX,XXX,,
0175T,0.6,BR,XXX,XXX,,
0184T,6.22,BR,XXX,XXX,,
0190T,1.87,BR,XXX,XXX,,
0191T,6.4,BR,XXX,XXX,,
0198T,9.99,BR,XXX,XXX,,
0200T,8.7,BR,XXX,XXX,,
0201T,11.98,BR,XXX,XXX,,
0202T,15.4,BR,XXX,XXX,,
