,Code,Description,Relative Value,FUD,PC/TC Split
,15135,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cmor less, or 1%of body area of infants and children",5.07,090,
+,15136,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.63,ZZZ,
,15150,"Tissue cultured skin autograft, trunk, arms, legs; first 25 sq cm or less",4,090,
+,15151,"Tissue cultured skin autograft, trunk, arms, legs; additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)",0.88,ZZZ,
+,15152,"Tissue cultured skin autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List sepa- rately in addition to code for primary procedure)",1.08,ZZZ,
,15155,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, geni- talia, hands, feet, and/or multiple digits; first 25 sq cm or less",4.02,090,
+,15156,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, geni- talia, hands, feet, and/or multiple digits; additional 1 sq cm to 75 sq cm (List sepa- rately in addition to code for primary procedure)",1.17,ZZZ,
+,15157,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, geni- talia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each addi- tional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",1.35,ZZZ,
,15240,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less",5.3,090,
,15271,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area",0.66,000,
+,15272,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cmwoundsurface area, or part thereof (List separately in addition to code for primary procedure)",0.13,ZZZ,
,15273,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children",1.58,000,
+,15274,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cmwoundsurface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.33,ZZZ,
,15275,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area",0.77,000,
+,15276,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List sep- arately in addition to code for primary procedure)",0.19,ZZZ,
,15277,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children",1.64,000,
+,15278,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cmwoundsurface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.41,ZZZ,
,15574,"Formation of direct or tubed pedicle, with or without transfer; forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands or feet",5.75,090,
,15620,"Delay of flap or sectioning of flap (division and inset); at forehead, cheeks, chin, neck, axillae, genitalia, hands, or feet",5.4,090,
,15756,Free muscle or myocutaneous flap with microvascular anastomosis,18.09,090,
,15757,Free skin flap with microvascular anastomosis,21.28,090,
