,Code Description,Relative Value,FUD,PC/TC Split
73600,"Radiologic examination, ankle; 2 views",1.38,XXX,40/60
73610,"Radiologic examination, ankle; complete, minimum of 3 views",1.48,XXX,40/60
73615,"Radiologic examination, ankle, arthrography, radiological supervision and inter- pretation",4.69,XXX,35/65
73620,"Radiologic examination, foot; 2 views",1.43,XXX,40/60
73630,"Radiologic examination, foot; complete, minimum of 3 views",1.48,XXX,40/60
73650,"Radiologic examination; calcaneus, minimum of 2 views",1.28,XXX,40/60
73660,"Radiologic examination; toe(s), minimum of 2 views",1.12,XXX,40/60
76080,"Radiologic examination, abscess, fistula or sinus tract study, radiological supervi- sion and interpretation",2.35,XXX,35/65
76499,Unlisted diagnostic radiographic procedure,BR,XXX,
76881,"Ultrasound, complete joint (ie, joint space and peri-articular soft tissue structures) real-time with image documentation",4.46,XXX,25/75
76882,"Ultrasound, limited, joint or other nonvascular extremity structure(s) (eg, joint space, peri-articular tendon[s], muscle[s], nerve[s], other soft tissue structure[s], or soft tissue mass[es]), real-time with image documentation",1.28,XXX,69/31
77002,"Fluoroscopic guidance for needle placement (eg, biopsy, aspiration, injection, localization device) (List separately in addition to code for primary procedure)",2.81,ZZZ,34/66
